School_Name,Address_Line_1,Address_Town,Postal_Postcode,Full_Phone_No,School URL,ICSEA,School_Type,Campus Type,LGA_Name,Suburb,Education_Sector,School Type,Year Range,Geolocation,Total Enrolments,Girls Enrolments,Boys Enrolments,Indigenous Enrolments (%),Language Background Other Than English - Yes (%)
Parade College,1436 Plenty Road,BUNDOORA,3083.0,03 9468 3300,http://www.parade.vic.edu.au,1076.0,Secondary,School Head Campus,Banyule (C),Bundoora,Catholic,Secondary,7-12,Major Cities,1911.0,0.0,1911.0,1.0,18.0
Simonds Catholic College,273 Victoria Street,WEST MELBOURNE,3003.0,03 9321 9200,http://www.sccmelb.catholic.edu.au,1037.0,Secondary,School Head Campus,Melbourne (C),West Melbourne,Catholic,Secondary,7-12,Major Cities,410.0,0.0,410.0,0.0,45.0
St Patrick's School,119 Drummond Street South,BALLARAT,3350.0,03 5332 7680,http://www.spballarat.catholic.edu.au,1092.0,Primary,School Single Entity,Ballarat (C),Ballarat,Catholic,Primary,Prep-6,Inner Regional,249.0,126.0,123.0,1.0,15.0
St Patrick's School,119 Drummond Street South,BALLARAT,3350.0,03 5332 7680,http://www.spwangaratta.catholic.edu.au,1044.0,Primary,School Single Entity,Ballarat (C),Wangaratta,Catholic,Primary,Prep-6,Inner Regional,258.0,138.0,120.0,5.0,3.0
St Patrick's School,119 Drummond Street South,BALLARAT,3350.0,03 5332 7680,http://www.spgordon.catholic.edu.au,1033.0,Primary,School Single Entity,Ballarat (C),Gordon,Catholic,Primary,Prep-6,Inner Regional,67.0,35.0,32.0,3.0,3.0
St Patrick's School,119 Drummond Street South,BALLARAT,3350.0,03 5332 7680,http://www.spstarnaud.catholic.edu.au,1013.0,Primary,School Single Entity,Ballarat (C),St Arnaud,Catholic,Primary,Prep-6,Outer Regional,107.0,53.0,54.0,1.0,3.0
St Patrick's School,119 Drummond Street South,BALLARAT,3350.0,03 5332 7680,http://www.stppakenham.catholic.edu.au,993.0,Primary,School Single Entity,Ballarat (C),Pakenham,Catholic,Primary,Prep-6,Major Cities,374.0,171.0,203.0,3.0,59.0
St Patrick's School,119 Drummond Street South,BALLARAT,3350.0,03 5332 7680,http://www.spkoroit.catholic.edu.au,1044.0,Primary,School Single Entity,Ballarat (C),Koroit,Catholic,Primary,Prep-6,Inner Regional,105.0,54.0,51.0,4.0,2.0
St Patrick's School,119 Drummond Street South,BALLARAT,3350.0,03 5332 7680,http://www.spgeelongwest.catholic.edu.au,1096.0,Primary,School Single Entity,Ballarat (C),Geelong West,Catholic,Primary,Prep-6,Major Cities,425.0,214.0,211.0,1.0,10.0
St Patrick's School,119 Drummond Street South,BALLARAT,3350.0,03 5332 7680,http://www.splilydale.catholic.edu.au,1058.0,Primary,School Single Entity,Ballarat (C),Lilydale,Catholic,Primary,Prep-6,Major Cities,235.0,102.0,133.0,2.0,15.0
